name,position,actual_eur,predicted_eur,abs_error_eur
Svyatoslav Kozlovskyi,Attack,100000.0,117735.766,17735.765625
Shak Mohammed,Attack,150000.0,293086.2,143086.1875
Andy Webster,Defender,1500000.0,993672.56,506327.4375
Pedro Felipe,Defender,700000.0,306419.4,393580.59375
Robbert de Vos,Midfield,150000.0,359822.97,209822.96875
Nils Quaschner,Attack,500000.0,443217.3,56782.6875
Philippe Senderos,Defender,9700000.0,2.6392078e+06,7060792.25
Zach Clough,Attack,2500000.0,234891.28,2265108.71875
Johannes van den Bergh,Defender,2000000.0,2.8800502e+06,880050.25
Christopher Ibayi,Attack,800000.0,1.9528526e+06,1152852.625
Tom Krauß,Midfield,7000000.0,3.9333802e+06,3066619.75
Bart Buysse,Defender,1000000.0,2.0670305e+06,1067030.5
Christian Rivera,Midfield,3500000.0,1.2306926e+06,2269307.375
Marko Kvasina,Attack,700000.0,1.516979e+06,816979.0
Tiago Castro,Midfield,750000.0,311247.2,438752.8125
Matheus Cunha,Goalkeeper,3000000.0,2.1305778e+06,869422.25
Serdar Kurtulus,Defender,3500000.0,2.155647e+06,1344353.0
Gustavo Ermel,Attack,750000.0,329081.38,420918.625
Pedro Brazão,Attack,2000000.0,1.2853454e+06,714654.625
Patrick Owomoyela,Defender,5000000.0,1.7013876e+06,3298612.375
Bautista Dadín,Attack,250000.0,372161.0,122161.0
Fintelman,Goalkeeper,100000.0,654119.25,554119.25
João Vasco,Attack,275000.0,294400.28,19400.28125
Mikhail Merkulov,Defender,1800000.0,1.3894479e+06,410552.125
Azor Matusiwa,Midfield,13000000.0,1.0335847e+07,2664153.0
Badara Sarr,Midfield,100000.0,196847.06,96847.0625
Cyrus Christie,Defender,3500000.0,2.5009642e+06,999035.75
Cristian Álvarez,Goalkeeper,3000000.0,2.9015595e+06,98440.5
Attila Csürös,Defender,200000.0,197353.83,2646.171875
Panagiotis Panagiotou,Defender,400000.0,141950.7,258049.296875
Alexandros Kouros,Defender,600000.0,787265.9,187265.875
Maurice de Ruiter,Attack,50000.0,141256.58,91256.578125
Jordan Bowery,Attack,1000000.0,2.225855e+06,1225855.0
Gilberto Sepúlveda,Defender,4000000.0,2.6096992e+06,1390300.75
David Wijns,Defender,400000.0,632120.75,232120.75
Francisco Gualtieri,Goalkeeper,25000.0,150644.94,125644.9375
Rodrigo Varanda,Attack,1000000.0,483891.8,516108.1875
Andre Gray,Attack,15000000.0,2.356262e+06,12643738.0
Victorien Angban,Midfield,4000000.0,3.641482e+06,358518.0
Sanny Monteiro,Defender,150000.0,262055.78,112055.78125
Brad Smith,Midfield,50000.0,87642.77,37642.7734375
Lewis Richardson,Midfield,200000.0,370231.0,170231.0
Adrian Skogmar,Midfield,600000.0,1.5533012e+06,953301.25
Sotiri Phillis,Defender,75000.0,233299.5,158299.5
Jonny Otto,Defender,20000000.0,1.4265468e+07,5734532.0
Michael Kightly,Attack,4500000.0,4.075502e+06,424498.0
Gabriele Corbo,Defender,800000.0,499450.3,300549.6875
Wim Vanmarsenille,Goalkeeper,100000.0,123337.24,23337.2421875
Konstantinos Kapetanos,Midfield,750000.0,759171.8,9171.8125
Enis Nadarevic,Attack,1200000.0,1.4690772e+06,269077.25
Mihnea Rădulescu,Attack,750000.0,373585.9,376414.09375
Gora Diouf,Defender,4000000.0,852467.4,3147532.625
Jadel Katongo,Defender,500000.0,439452.88,60547.125
Marcus Berg,Attack,11000000.0,1.2488617e+07,1488617.0
Ivan Pavlic,Midfield,300000.0,820135.94,520135.9375
Rafa Vieira,Defender,350000.0,314691.22,35308.78125
Quini,Defender,1200000.0,2.1744402e+06,974440.25
Frederik Bay,Defender,250000.0,325680.44,75680.4375
Josimar Alcócer,Attack,3500000.0,2.206085e+06,1293915.0
Dean McMaster,Midfield,50000.0,58283.65,8283.6484375
David Antunes,Midfield,200000.0,391662.6,191662.59375
Jae-ik Lee,Defender,400000.0,648597.0,248597.0
Yigit Ulas,Defender,250000.0,68540.51,181459.4921875
Alex Marshall,Goalkeeper,50000.0,45541.504,4458.49609375
Horacio Cardozo,Midfield,1800000.0,1.3998969e+06,400103.125
Kane Wilson,Defender,350000.0,526027.1,176027.125
Jeremiah St. Juste,Defender,16000000.0,1.0663982e+07,5336018.0
Elias Cobbaut,Defender,3500000.0,4.2865675e+06,786567.5
Nazariy Vorobchak,Midfield,300000.0,272301.9,27698.09375
Tim Drexler,Defender,4000000.0,5.281803e+06,1281803.0
Cristian Lema,Defender,4500000.0,1.1446672e+06,3355332.75
Jamie Hamilton,Defender,450000.0,362490.22,87509.78125
Dominik Kostka,Defender,350000.0,736308.0,386308.0
Koki Ogawa,Attack,3000000.0,4.512482e+06,1512482.0
Sebastián Bartolini,Defender,700000.0,1.9557135e+06,1255713.5
Nicolás Valentini,Defender,6000000.0,3.662899e+06,2337101.0
Muhayer Oktay,Midfield,200000.0,182935.73,17064.265625
Doğan Erdoğan,Midfield,1100000.0,1.8428768e+06,742876.75
Kristoffer Haugen,Defender,1000000.0,871945.2,128054.8125
